Path,Lines of code,Lines of code generated,Lines of user code, Percentage of generated code
/Robot,28,28,0,"100.00"
/Robot/.settings,11,11,0,"100.00"
/Robot/bin,7,7,0,"100.00"
/Robot/bin/robot,28,28,0,"100.00"
/Robot/bin/robot/APIMainFrame,187,187,0,"100.00"
/Robot/bin/robot/ProcessingGSvideo,119,119,0,"100.00"
/Robot/bin/robot/algo/astar,174,174,0,"100.00"
/Robot/bin/robot/algo/astar/robot,344,344,0,"100.00"
/Robot/bin/robot/algo/otsu,192,192,0,"100.00"
/Robot/bin/robot/markerstracking,111,111,0,"100.00"
/Robot/resources,1,1,0,"100.00"
/Robot/resources/img,5861,5861,0,"100.00"
/Robot/resources/map,91,91,0,"100.00"
/Robot/resources/patterns,980,980,0,"100.00"
/Robot/src/robot,24,24,0,"100.00"
/Robot/src/robot/APIMainFrame,399,399,0,"100.00"
/Robot/src/robot/ProcessingGSvideo,197,197,0,"100.00"
/Robot/src/robot/algo/astar,747,747,0,"100.00"
/Robot/src/robot/algo/astar/robot,744,744,0,"100.00"
/Robot/src/robot/algo/otsu,501,501,0,"100.00"
/Robot/src/robot/markerstracking,126,126,0,"100.00"
